Model,Features,Constraints,Configurations,Homogeneity
security-CVE-VarelaVaca2020-2009-1306,114,93,3608,
security-CVE-VarelaVaca2020-2013-1693,384,514,33496,
security-CVE-VarelaVaca2020-2012-0475,145,83,5808,
security-CVE-VarelaVaca2020-2015-8834,301,279,12232,
systems_software-h8300h_sim-Berger2013,1183,3001,6.57e355,
systems_software-BusyBox-Pett2021-2007-10-29_19-33-26,475,511,4.88e142,
systems_software-dreamcast-Berger2013,1253,3168,7.75e376,
security-CVE-VarelaVaca2020-2019-9787,508,484,25116,
security-CVE-VarelaVaca2020-2012-1956,429,523,33144,
systems_software-Fiasco-Pett2023-2018-02-19_10-18-21,232,1216,3.45e69,
systems_software-iq80321-Knüppel2017,1269,898,7.21e218,
systems_software-uClibc-Pett2023-2012-06-15_14-00-31,246,1318,5.65e73,
systems_software-BusyBox-Pett2021-2009-02-04_23-43-44,574,615,3.09e172,
security-CVE-VarelaVaca2020-2016-5271,354,893,86768,
security-CVE-VarelaVaca2020-2019-17675,522,498,25844,
systems_software-BusyBox-Pett2021-2007-12-25_01-08-58,487,521,2.00e146,
deep_learning-cnn-architecture-Ghamizi2019-light,3296,76,2.63e186,
security-CVE-VarelaVaca2020-2017-14718,456,434,19052,
security-CVE-VarelaVaca2020-2011-3663,120,73,4436,
systems_software-mcb2100-Berger2013,1250,3824,9.69e375,
security-CVE-VarelaVaca2020-2012-3984,443,524,32436,
security-CVE-VarelaVaca2020-2018-14009,109,1,388,
security-CVE-VarelaVaca2020-2008-0016,115,91,1628,
security-CVE-VarelaVaca2020-2020-20627,118,103,816,
systems_software-aaed2000-Knüppel2017,1298,904,3.70e228,
systems_software-BusyBox-Pett2021-2008-09-27_14-01-22,555,575,5.90e166,
security-CVE-VarelaVaca2020-2008-2799,164,131,2972,
security-CVE-VarelaVaca2020-2018-18505,840,1484,181532,
security-CVE-VarelaVaca2020-2011-0069,221,171,7524,
security-CVE-VarelaVaca2020-2009-1833,232,194,6664,
security-CVE-VarelaVaca2020-2016-2818,444,900,85308,
systems_software-soletta-Pett2023-2015-11-04_13-35-55,298,964,2.55e89,
security-CVE-VarelaVaca2020-2009-2535,220,186,4656,
systems_software-pc_rltk8139-Berger2013,1258,3179,2.48e378,
security-CVE-VarelaVaca2020-2019-10864,171,1,632,
security-CVE-VarelaVaca2020-2016-1526,222,172,8756,
security-CVE-VarelaVaca2020-2015-7217,343,1075,157800,
systems_software-BusyBox-Pett2021-2009-12-05_17-56-25,608,667,5.31e182,
systems_software-BusyBox-Pett2021-2009-12-07_01-37-34,608,667,5.31e182,
security-CVE-VarelaVaca2020-2012-0937,111,88,3828,
security-CVE-VarelaVaca2020-2012-0467,157,85,5840,
security-CVE-VarelaVaca2020-2011-2605,257,217,12020,
security-CVE-VarelaVaca2020-2012-4209,509,549,33592,
security-CVE-VarelaVaca2020-2015-7215,339,809,78900,
systems_software-hs7729pci-Knüppel2017,1312,886,1.03e227,
navigation-routefinding-Mendonca2009,103,2,1.78e12,
security-CVE-VarelaVaca2020-2013-5609,582,664,43408,
security-CVE-VarelaVaca2020-2012-2580,132,115,1368,
systems_software-BusyBox-Pett2021-2007-12-24_14-09-19,485,518,4.99e145,
security-CVE-VarelaVaca2020-2013-2205,118,96,4180,
security-CVE-VarelaVaca2020-2014-1565,271,446,31696,
finance-FinancialServices01-Nieke2018-2018-05-09,,,,
systems_software-BusyBox-Pett2021-2010-01-29_09-11-47,619,679,1.09e186,
security-CVE-VarelaVaca2020-2014-1491,671,664,44064,
security-CVE-VarelaVaca2020-2015-2721,537,689,852796,
finance-FinancialServices01-Nieke2018-2018-04-23,,,,
security-CVE-VarelaVaca2020-2020-4050,386,359,15716,
systems_software-BusyBox-Pett2021-2008-02-14_20-37-54,501,531,3.27e150,
systems_software-Embtoolkit-Berger2013,23517,180511,1.05e7079,
systems_software-h8s_sim-Knüppel2017,1196,828,1.10e203,
security-CVE-VarelaVaca2020-2014-1581,284,468,33200,
security-CVE-VarelaVaca2020-2016-5295,362,1204,175712,
security-CVE-VarelaVaca2020-2017-18559,155,1,568,
systems_software-BusyBox-Pett2021-2008-08-17_14-12-26,548,602,4.61e164,
systems_software-cerf-Knüppel2017,1289,935,1.50e222,
security-CVE-VarelaVaca2020-2015-5461,186,1,692,
systems_software-soletta-Pett2023-2016-02-19_19-05-41,351,1147,2.29e105,
security-CVE-VarelaVaca2020-2012-0446,123,72,4704,
security-CVE-VarelaVaca2020-2013-0787,468,579,36788,
security-CVE-VarelaVaca2020-2016-5834,388,366,16060,
systems_software-stdeval1-Berger2013,1191,3049,1.68e358,
security-CVE-VarelaVaca2020-2018-12379,813,1445,177776,
systems_software-sh4_202_md-Knüppel2017,1272,885,5.17e215,
security-CVE-VarelaVaca2020-2015-4492,340,551,38540,
security-CVE-VarelaVaca2020-2015-6108,103,41,21120,
systems_software-iq80310-Berger2013,1259,3821,4.96e378,
systems_software-BusyBox-Pett2021-2009-11-23_06-20-09,607,663,2.66e182,
systems_software-uClibc-Pett2023-2009-11-19_18-03-00,246,1738,5.65e73,
security-CVE-VarelaVaca2020-2012-4215,509,549,33592,
security-CVE-VarelaVaca2020-2020-11886,119,2,424,
security-CVE-VarelaVaca2020-2016-1939,339,823,80252,
security-CVE-VarelaVaca2020-2012-5354,414,512,32356,
security-CVE-VarelaVaca2020-2016-2836,356,882,85696,
systems_software-eb55-Knüppel2017,1283,914,1.61e218,
systems_software-Fiasco-Pett2023-2019-12-17_12-09-20,243,1344,7.07e72,
security-CVE-VarelaVaca2020-2016-2796,392,836,81224,
systems_software-BusyBox-Pett2021-2008-05-24_20-47-18,540,564,1.80e162,
systems_software-soletta-Pett2023-2016-02-17_16-43-25,351,1143,2.29e105,
security-CVE-VarelaVaca2020-2012-3986,488,532,32536,
security-CVE-VarelaVaca2020-2011-3005,236,187,9624,
systems_software-uClibc-Pett2023-2016-06-30_03-24-42,237,1244,1.10e71,
systems_software-ea2468-Berger2013,1396,4138,8.65e419,
security-CVE-VarelaVaca2020-2015-2712,302,507,35912,
systems_software-BusyBox-Pett2021-2007-09-29_22-26-01,472,505,6.10e141,
security-CVE-VarelaVaca2020-2015-0806,308,505,35528,
security-CVE-VarelaVaca2020-2012-4195,503,542,33084,
security-CVE-VarelaVaca2020-2015-4477,330,549,38520,
systems_software-BusyBox-Pett2021-2008-06-15_18-35-34,550,592,1.84e165,
systems_software-uClibc-Pett2023-2011-10-25_12-28-51,243,1313,7.07e72,
security-CVE-VarelaVaca2020-2013-4338,120,98,4268,
systems_software-BusyBox-Pett2021-2008-07-19_09-27-19,557,611,2.36e167,
systems_software-uClibc-Pett2023-2017-05-14_10-29-09,233,1252,6.90e69,
systems_software-BusyBox-Pett2021-2009-11-02_10-49-02,603,658,1.66e181,
security-CVE-VarelaVaca2020-2016-2815,465,951,85796,
security-CVE-VarelaVaca2020-2013-1724,480,606,40528,
security-CVE-VarelaVaca2020-2019-16217,521,497,25792,
security-CVE-VarelaVaca2020-2017-5490,433,411,18040,
systems_software-BusyBox-Pett2021-2010-04-18_22-09-30,630,680,2.23e189,
security-CVE-VarelaVaca2020-2015-0797,736,1266,102968,
security-CVE-VarelaVaca2020-2012-4186,488,532,32536,
security-CVE-VarelaVaca2020-2016-1965,359,833,81124,
security-CVE-VarelaVaca2020-2013-1712,397,806,168440,
finance-FinancialServices01-Nieke2018-2017-05-22,,,,
systems_software-ipaq-Berger2013,1259,3868,4.96e378,
security-CVE-VarelaVaca2020-2019-16222,521,497,25792,
security-CVE-VarelaVaca2020-2013-1677,378,508,33032,
security-CVE-VarelaVaca2020-2019-16221,521,497,25792,
security-CVE-VarelaVaca2020-2017-16871,168,1,620,
systems_software-BusyBox-Pett2021-2009-06-19_13-14-48,586,638,1.27e176,
security-CVE-VarelaVaca2020-2016-4029,364,342,15004,
security-CVE-VarelaVaca2020-2016-1958,359,833,81124,
security-CVE-VarelaVaca2020-2019-17024,640,1363,177380,
security-CVE-VarelaVaca2020-2020-28035,546,522,27092,
systems_software-BusyBox-Pett2021-2008-05-16_16-10-31,535,557,5.62e160,
security-CVE-VarelaVaca2020-2014-1568,4351,8138,304432,
systems_software-BusyBox-Pett2021-2009-10-17_21-38-19,601,656,4.15e180,
security-CVE-VarelaVaca2020-2011-2375,269,229,12768,
systems_software-Freetz-Berger2013,31013,102705,3.49e9335,
security-CVE-VarelaVaca2020-2012-3958,447,525,33200,
systems_software-cerfpda-Berger2013,1292,3940,4.26e388,
systems_software-BusyBox-Pett2021-2009-04-26_01-08-51,578,619,4.95e173,
security-CVE-VarelaVaca2020-2013-1679,378,508,33032,
security-CVE-VarelaVaca2020-2013-1732,502,608,40600,
security-CVE-VarelaVaca2020-2008-2805,108,85,1532,
security-CVE-VarelaVaca2020-2012-0478,157,85,5840,
security-CVE-VarelaVaca2020-2010-3804,172,123,376960,
security-CVE-VarelaVaca2020-2011-0074,206,137,5840,
security-CVE-VarelaVaca2020-2019-19985,137,1,492,
systems_software-mace1-Knüppel2017,1247,867,5.75e212,
security-CVE-VarelaVaca2020-2012-0461,363,294,17808,
systems_software-soletta-Pett2023-2015-09-11_12-00-21,251,757,1.81e75,
security-CVE-VarelaVaca2020-2012-6635,110,88,3828,
systems_software-Linux-Oh2020-3.4.extract,80259,388816,1.16e24160,
security-CVE-VarelaVaca2020-2010-3131,269,226,14056,
security-CVE-VarelaVaca2020-2010-2769,267,226,7028,
security-CVE-VarelaVaca2020-2019-14785,203,1,760,
systems_software-soletta-Pett2023-2015-07-02_18-39-42,106,194,4.06e31,
security-CVE-VarelaVaca2020-2020-11738,261,482,5784,
security-CVE-VarelaVaca2020-2012-3963,482,524,31900,
security-CVE-VarelaVaca2020-2019-11886,106,1,372,
security-CVE-VarelaVaca2020-2013-1722,502,608,40600,
security-CVE-VarelaVaca2020-2018-10233,209,1,784,
security-CVE-VarelaVaca2020-2016-5293,449,1351,176952,
systems_software-calm16_ceb-Berger2013,1174,2990,1.28e353,
security-CVE-VarelaVaca2020-2015-9328,103,1,360,
security-CVE-VarelaVaca2020-2013-1719,480,606,40528,
systems_software-soletta-Pett2023-2016-04-08_16-08-18,390,1530,1.26e117,
security-CVE-VarelaVaca2020-2013-1700,242,581,56032,
systems_software-uClibc-Pett2023-2011-08-26_09-29-52,242,1339,3.53e72,
security-CVE-VarelaVaca2020-2018-9172,108,1,376,
security-CVE-VarelaVaca2020-2015-9304,135,1,488,
security-CVE-VarelaVaca2020-2015-9295,121,1,432,
security-CVE-VarelaVaca2020-2009-2465,129,86,3444,
systems_software-uClibc-Pett2023-2013-02-20_13-45-10,250,1402,9.05e74,
security-CVE-VarelaVaca2020-2013-0770,516,576,35632,
security-CVE-VarelaVaca2020-2013-0753,537,581,35668,
security-CVE-VarelaVaca2020-2017-6814,441,414,18136,
security-CVE-VarelaVaca2020-2020-12396,476,1253,179520,
systems_software-BusyBox-Pett2021-2008-07-28_00-01-16,557,612,2.36e167,
security-CVE-VarelaVaca2020-2014-1524,592,678,44436,
security-CVE-VarelaVaca2020-2017-16870,168,1,620,
systems_software-innovator-Knüppel2017,1270,886,7.95e223,
finance-FinancialServices01-Nieke2018-2017-12-22,,,,
security-CVE-VarelaVaca2020-2017-5436,722,1276,106984,
systems_software-Fiasco-Oh2020-17_10,235,1178,2.76e70,
security-CVE-VarelaVaca2020-2020-6009,134,1,484,
security-CVE-VarelaVaca2020-2014-1560,415,578,37992,
systems_software-BusyBox-Pett2021-2009-12-11_02-21-10,608,667,5.31e182,
security-CVE-VarelaVaca2020-2015-2710,491,661,43128,
security-CVE-VarelaVaca2020-2009-1307,106,85,3288,
security-CVE-VarelaVaca2020-2013-5739,120,98,4268,
security-CVE-VarelaVaca2020-2019-17013,467,1226,175848,
security-CVE-VarelaVaca2020-2011-2980,172,130,3168,
security-CVE-VarelaVaca2020-2019-10869,169,153,1224,
security-CVE-VarelaVaca2020-2013-0776,528,585,36540,
security-CVE-VarelaVaca2020-2013-1682,384,514,33496,
systems_software-BusyBox-Pett2021-2008-09-25_10-48-06,551,571,3.69e165,
security-CVE-VarelaVaca2020-2012-3968,482,524,31900,
security-CVE-VarelaVaca2020-2011-1307,182,325,5216,
security-CVE-VarelaVaca2020-2012-3975,429,523,33144,
security-CVE-VarelaVaca2020-2015-7194,331,557,39336,
security-CVE-VarelaVaca2020-2012-1944,162,87,5980,
systems_software-BusyBox-Pett2021-2008-04-06_07-17-02,536,564,1.12e161,
security-CVE-VarelaVaca2020-2019-14788,113,1,400,
security-CVE-VarelaVaca2020-2013-1688,238,398,28016,
systems_software-uClibc-Pett2023-2013-04-04_00-25-06,253,1475,7.24e75,
security-CVE-VarelaVaca2020-2020-4048,380,358,15708,
security-CVE-VarelaVaca2020-2016-1950,628,1053,85216,
security-CVE-VarelaVaca2020-2013-1726,502,608,40600,
security-CVE-VarelaVaca2020-2011-2378,221,162,5268,
security-CVE-VarelaVaca2020-2014-1555,425,577,37936,
systems_software-soletta-Pett2023-2015-07-07_18-42-03,114,216,1.04e34,
security-CVE-VarelaVaca2020-2019-15326,196,1,732,
security-CVE-VarelaVaca2020-2015-0832,304,497,34984,
security-CVE-VarelaVaca2020-2013-5618,582,664,43408,
systems_software-eb42-Knüppel2017,1247,884,6.10e214,
security-CVE-VarelaVaca2020-2015-0800,297,722,70992,
automotive-automotive2-Knüppel2017-2_3,18434,1300,3.77e1574,
security-CVE-VarelaVaca2020-2020-11028,547,517,26792,
security-CVE-VarelaVaca2020-2012-0441,210,88,6164,
security-CVE-VarelaVaca2020-2020-29395,164,1,600,
systems_software-BusyBox-Pett2021-2010-03-19_14-48-51,625,687,6.96e187,
security-CVE-VarelaVaca2020-2015-4479,336,550,38536,
systems_software-skmb91302-Knüppel2017,1230,840,8.37e214,
security-CVE-VarelaVaca2020-2012-4421,114,92,4004,
security-CVE-VarelaVaca2020-2014-1533,273,439,31316,
systems_software-BusyBox-Pett2021-2007-10-18_12-54-39,474,510,2.44e142,
systems_software-soletta-Pett2023-2015-10-30_18-14-23,295,944,3.18e88,
security-CVE-VarelaVaca2020-2011-0058,205,325,16880,
security-CVE-VarelaVaca2020-2012-5842,514,550,33600,
security-CVE-VarelaVaca2020-2014-1525,394,534,38044,
security-CVE-VarelaVaca2020-2014-8635,403,583,41824,
systems_software-uClibc-Pett2023-2013-06-14_10-43-41,240,1332,8.83e71,
security-CVE-VarelaVaca2020-2019-9646,170,1,628,
systems_software-BusyBox-Pett2021-2008-02-19_11-36-22,546,578,1.15e164,
security-CVE-VarelaVaca2020-2017-5393,362,917,88944,
navigation-subseacontrolsystem-Mendonca2009,145,13,5.52e11,
systems_software-eb40-Berger2013,1241,3816,1.89e373,
security-CVE-VarelaVaca2020-2015-2725,513,683,44908,
systems_software-mb93091-Knüppel2017,1263,876,1.88e220,
systems_software-BusyBox-Pett2021-2009-07-04_16-50-43,588,641,5.07e176,
systems_software-e7t-Knüppel2017,1280,883,1.19e224,
systems_software-soletta-Pett2023-2016-05-09_16-14-40,410,1616,1.32e123,
security-CVE-VarelaVaca2020-2016-10977,141,1,512,
systems_software-BusyBox-Pett2021-2007-11-23_23-39-01,481,511,3.12e144,
security-CVE-VarelaVaca2020-2015-5733,303,281,12320,
security-CVE-VarelaVaca2020-2017-11658,123,1,440,
security-CVE-VarelaVaca2020-2009-1310,104,83,3280,
systems_software-vrc4373-Berger2013,1248,3104,2.42e375,
systems_software-uClibc-Pett2023-2016-11-29_08-38-20,235,1231,2.76e70,
security-CVE-VarelaVaca2020-2011-3648,276,235,13424,
security-CVE-VarelaVaca2020-2016-10112,154,132,4716,
systems_software-BusyBox-Pett2021-2008-05-18_23-05-34,538,560,4.50e161,
security-CVE-VarelaVaca2020-2008-2785,161,128,2832,
security-CVE-VarelaVaca2020-2011-3660,126,76,4940,
security-CVE-VarelaVaca2020-2008-5013,117,95,1760,
systems_software-sh4_202_md-Berger2013,1259,3196,4.96e378,
systems_software-soletta-Pett2023-2016-02-03_11-33-53,343,1124,8.96e102,
security-CVE-VarelaVaca2020-2016-2830,356,882,85696,
systems_software-soletta-Pett2023-2016-03-12_12-42-43,362,1206,4.70e108,
systems_software-cme555-Knüppel2017,1279,863,8.78e219,
security-CVE-VarelaVaca2020-2014-1500,405,531,37820,
security-CVE-VarelaVaca2020-2019-14950,154,1,564,
security-CVE-VarelaVaca2020-2008-1380,164,129,3404,
security-CVE-VarelaVaca2020-2011-3003,246,201,12736,
systems_software-BusyBox-Pett2021-2007-10-14_04-48-44,473,509,1.22e142,
security-CVE-VarelaVaca2020-2009-3978,112,96,1900,
systems_software-aim711-Berger2013,1265,3873,3.18e380,
security-CVE-VarelaVaca2020-2015-3429,312,281,24472,
security-CVE-VarelaVaca2020-2014-1556,425,577,37936,
security-CVE-VarelaVaca2020-2010-0167,155,99,4300,
security-CVE-VarelaVaca2020-2015-5732,303,281,12320,
security-CVE-VarelaVaca2020-2013-1683,238,398,28016,
security-CVE-VarelaVaca2020-2016-1935,353,825,80288,
security-CVE-VarelaVaca2020-2011-0076,212,339,17600,
security-CVE-VarelaVaca2020-2013-0767,536,581,35668,
systems_software-Fiasco-Pett2023-2020-10-13_11-46-16,250,1525,9.05e74,
security-CVE-VarelaVaca2020-2019-15116,246,1,932,
security-CVE-VarelaVaca2020-2013-4248,242,198,17960,
systems_software-soletta-Pett2023-2015-08-19_17-43-58,225,700,2.70e67,
security-CVE-VarelaVaca2020-2017-18596,148,216,5040,
systems_software-BusyBox-Pett2021-2009-11-22_03-43-55,606,661,1.33e182,
security-CVE-VarelaVaca2020-2011-3650,276,235,13424,
systems_software-BusyBox-Pett2021-2007-08-14_16-45-29,463,489,1.19e139,
systems_software-soletta-Pett2023-2015-09-14_19-08-31,264,814,1.48e79,
security-CVE-VarelaVaca2020-2015-0831,478,649,42212,
systems_software-BusyBox-Pett2021-2010-03-31_15-58-58,628,691,5.57e188,
security-CVE-VarelaVaca2020-2015-4487,341,552,38544,
security-CVE-VarelaVaca2020-2015-0813,512,1047,85688,
security-CVE-VarelaVaca2020-2017-17093,480,452,19812,
security-CVE-VarelaVaca2020-2008-7293,132,107,5936,
security-CVE-VarelaVaca2020-2010-4699,184,150,13708,
security-CVE-VarelaVaca2020-2019-14794,138,1,500,
security-CVE-VarelaVaca2020-2012-1971,429,523,33144,
systems_software-soletta-Pett2023-2015-09-25_09-22-21,277,861,1.21e83,
security-CVE-VarelaVaca2020-2015-7203,339,809,78900,
security-CVE-VarelaVaca2020-2018-20966,146,1,532,
security-CVE-VarelaVaca2020-2013-1702,311,452,31688,
security-CVE-VarelaVaca2020-2019-11710,452,1181,169728,
systems_software-uClibc-Pett2023-2011-12-22_13-59-24,245,1317,2.83e73,
security-CVE-VarelaVaca2020-2018-12405,836,1476,180636,
security-CVE-VarelaVaca2020-2013-5593,456,578,37704,
security-CVE-VarelaVaca2020-2014-9035,141,114,4936,
security-CVE-VarelaVaca2020-2015-2720,296,506,35904,
systems_software-soletta-Pett2023-2015-10-28_13-57-25,294,932,1.59e88,
systems_software-edosk2674-Knüppel2017,1207,841,5.40e205,
security-CVE-VarelaVaca2020-2014-8634,573,733,48948,
systems_software-ea2468-Knüppel2017,1408,956,7.86e235,
systems_software-BusyBox-Pett2021-2007-09-21_22-35-18,472,505,6.10e141,
security-CVE-VarelaVaca2020-2020-11025,134,108,4248,
systems_software-uClibc-Pett2023-2016-03-26_23-33-28,236,1195,5.52e70,
systems_software-uClibc-Pett2023-2016-12-20_20-51-59,235,1231,2.76e70,
systems_software-uClibc-Pett2023-2010-09-17_16-13-17,253,1753,7.24e75,
security-CVE-VarelaVaca2020-2008-4067,184,259,5904,
security-CVE-VarelaVaca2020-2016-5276,360,894,86784,
security-CVE-VarelaVaca2020-2016-6635,362,340,14916,
security-CVE-VarelaVaca2020-2011-3671,126,76,4940,
security-CVE-VarelaVaca2020-2014-1593,600,716,47972,
security-CVE-VarelaVaca2020-2018-7747,101,1,348,
systems_software-BusyBox-Pett2021-2007-06-21_12-41-59,454,480,2.33e136,
security-CVE-VarelaVaca2020-2013-1736,502,608,40600,
systems_software-brutus-Berger2013,1222,3754,3.61e367,
security-CVE-VarelaVaca2020-2020-11030,546,517,26788,
systems_software-cerfpda-Knüppel2017,1304,946,6.27e223,
security-CVE-VarelaVaca2020-2015-7208,339,809,78900,
security-CVE-VarelaVaca2020-2013-0779,504,579,36500,
systems_software-Linux-Knüppel2017-2.6.33.3,6467,3545,3.90e1672,
security-CVE-VarelaVaca2020-2013-5603,456,578,37704,
systems_software-uClibc-Pett2023-2016-12-29_13-38-09,236,1232,5.52e70,
systems_software-adder-Knüppel2017,1285,890,1.31e214,
systems_software-BusyBox-Pett2021-2010-03-18_18-35-37,624,685,3.48e187,
systems_software-uClibc-Pett2023-2015-10-09_05-34-32,241,992,1.77e72,
security-CVE-VarelaVaca2020-2012-0449,392,309,17740,
systems_software-uClibc-Pett2023-2017-04-17_17-51-12,233,1253,6.90e69,
systems_software-BusyBox-Pett2021-2008-03-29_17-26-10,537,572,2.25e161,
security-CVE-VarelaVaca2020-2013-0798,235,569,51200,
security-CVE-VarelaVaca2020-2019-13478,209,184,8784,
systems_software-BusyBox-Pett2021-2007-05-20_17-12-43,439,463,7.10e131,
systems_software-soletta-Pett2023-2015-11-23_15-29-58,311,1004,2.09e93,
security-CVE-VarelaVaca2020-2015-2435,129,62,49920,
security-CVE-VarelaVaca2020-2015-0807,471,651,42696,
systems_software-BusyBox-Pett2021-2009-07-05_12-49-29,588,641,5.07e176,
systems_software-psim-Knüppel2017,1194,826,4.63e204,
systems_software-BusyBox-Pett2021-2009-05-14_00-23-34,582,628,7.91e174,
security-CVE-VarelaVaca2020-2019-15868,111,1,392,
security-CVE-VarelaVaca2020-2011-0070,221,171,7524,
security-CVE-VarelaVaca2020-2013-2199,118,96,4180,
security-CVE-VarelaVaca2020-2016-1930,353,825,80288,
security-CVE-VarelaVaca2020-2011-3647,253,222,7392,
security-CVE-VarelaVaca2020-2014-1595,463,957,163008,
systems_software-adderII-Berger2013,1277,3206,1.30e384,
security-CVE-VarelaVaca2020-2019-11735,594,1328,174424,
systems_software-grg-Berger2013,1242,3792,3.79e373,
security-CVE-VarelaVaca2020-2011-4486,111,7,372,
security-CVE-VarelaVaca2020-2019-9800,820,1508,185456,
systems_software-BusyBox-Pett2021-2008-11-22_18-41-41,570,596,1.93e171,
security-CVE-VarelaVaca2020-2018-12389,404,335,16736,
security-CVE-VarelaVaca2020-2014-3616,313,2,1192,
security-CVE-VarelaVaca2020-2009-3076,117,95,3760,
systems_software-psim-Berger2013,1182,2995,3.28e355,
security-CVE-VarelaVaca2020-2009-3983,171,138,5404,
systems_software-BusyBox-Pett2021-2009-01-31_21-45-57,575,613,6.18e172,
systems_software-uCLinux_Config-Berger2013,11255,31637,6.19e3387,
security-CVE-VarelaVaca2020-2010-0169,154,99,4300,
systems_software-uClibc-Pett2023-2009-11-09_15-35-16,245,1736,2.83e73,
security-CVE-VarelaVaca2020-2016-10706,109,1,384,
security-CVE-VarelaVaca2020-2018-12390,829,1462,179120,
security-CVE-VarelaVaca2020-2016-4825,115,1,408,
security-CVE-VarelaVaca2020-2014-1490,670,664,44060,
security-CVE-VarelaVaca2020-2011-0075,206,137,5840,
security-CVE-VarelaVaca2020-2015-0834,304,497,34984,
systems_software-soletta-Pett2023-2015-09-16_12-28-33,265,819,2.96e79,
security-CVE-VarelaVaca2020-2013-1697,384,514,33496,
systems_software-olpce2294-Berger2013,1275,3881,3.25e383,
security-CVE-VarelaVaca2020-2017-14719,213,1,808,
security-CVE-VarelaVaca2020-2017-7766,487,1502,195056,
security-CVE-VarelaVaca2020-2017-18032,178,1,660,
systems_software-Fiasco-Pett2023-2018-02-09_09-07-48,218,1076,2.11e65,
systems_software-aim711-Knüppel2017,1277,912,1.24e218,
security-CVE-VarelaVaca2020-2017-17091,473,451,19800,
systems_software-mpc50-Knüppel2017,1226,863,3.32e212,
security-CVE-VarelaVaca2020-2019-15873,107,1,376,
security-CVE-VarelaVaca2020-2015-7187,321,556,39304,
systems_software-calm32_ceb-Berger2013,1174,2990,1.28e353,
security-CVE-VarelaVaca2020-2013-5615,557,657,43368,
security-CVE-VarelaVaca2020-2014-1512,590,672,44108,
systems_software-BusyBox-Pett2021-2008-03-19_23-15-26,535,569,5.62e160,
systems_software-BusyBox-Pett2021-2010-01-06_08-54-49,610,669,2.12e183,
security-CVE-VarelaVaca2020-2019-16223,522,497,25792,
systems_software-uClibc-Pett2023-2010-09-14_14-36-00,250,1746,9.05e74,
security-CVE-VarelaVaca2020-2008-1241,105,82,1480,
security-CVE-VarelaVaca2020-2014-5266,289,243,12124,
systems_software-eb42-Berger2013,1235,3779,2.96e371,
security-CVE-VarelaVaca2020-2013-1678,378,508,33032,
security-CVE-VarelaVaca2020-2015-2740,528,689,44948,
systems_software-BusyBox-Pett2021-2008-01-05_03-26-41,490,524,1.60e147,
security-CVE-VarelaVaca2020-2013-0771,516,576,35632,
systems_software-cma28x-Berger2013,1205,3051,2.75e362,
systems_software-uClibc-Pett2023-2008-07-08_02-41-21,230,1703,8.63e68,
systems_software-refidt334-Knüppel2017,1276,870,3.32e221,
systems_software-soletta-Pett2023-2015-11-25_17-57-13,313,1011,8.34e93,
security-CVE-VarelaVaca2020-2015-0820,304,497,34984,
security-CVE-VarelaVaca2020-2016-6897,392,369,16192,
systems_software-BusyBox-Pett2021-2010-05-02_18-45-02,631,681,4.46e189,
systems_software-pc_rltk8139-Knüppel2017,1270,886,5.33e215,
security-CVE-VarelaVaca2020-2014-9308,108,1,744,
systems_software-soletta-Pett2023-2016-04-25_12-06-04,394,1550,2.02e118,
systems_software-BusyBox-Pett2021-2007-08-12_21-05-49,460,487,1.49e138,
security-CVE-VarelaVaca2020-2019-15780,151,1,552,
security-CVE-VarelaVaca2020-2016-1956,350,1107,162144,
systems_software-vrc4375-Knüppel2017,1271,870,2.65e220,
security-CVE-VarelaVaca2020-2011-3652,297,256,14528,
systems_software-BusyBox-Pett2021-2008-08-19_11-28-52,548,602,4.61e164,
systems_software-olpch2294-Berger2013,1262,3851,3.97e379,
security-CVE-VarelaVaca2020-2016-5263,363,883,85708,
systems_software-BusyBox-Pett2021-2008-02-19_23-42-22,547,579,2.30e164,
systems_software-m5272c3-Berger2013,1324,3297,1.83e398,
systems_software-soletta-Pett2023-2015-11-03_18-43-35,297,961,1.27e89,
security-CVE-VarelaVaca2020-2014-8758,128,1,460,
security-CVE-VarelaVaca2020-2014-5205,198,176,7700,
security-CVE-VarelaVaca2020-2016-5294,645,1693,196184,
security-CVE-VarelaVaca2020-2020-14959,184,1,684,
security-CVE-VarelaVaca2020-2016-5250,350,881,85680,
systems_software-sam7ex256-Knüppel2017,1345,935,1.24e229,
systems_software-uClibc-Pett2023-2015-03-26_00-50-17,250,1441,9.05e74,
systems_software-BusyBox-Pett2021-2008-08-28_22-42-52,548,602,4.61e164,
systems_software-uClibc-Pett2023-2008-06-07_15-19-18,229,1701,4.31e68,
security-CVE-VarelaVaca2020-2012-3985,443,524,32436,
security-CVE-VarelaVaca2020-2012-0782,111,88,3828,
systems_software-Fiasco-Pett2023-2020-10-13_11-46-17,253,1540,7.24e75,
security-CVE-VarelaVaca2020-2014-1534,262,438,31280,
security-CVE-VarelaVaca2020-2010-3773,192,164,4140,
security-CVE-VarelaVaca2020-2013-1705,311,452,31688,
systems_software-Linux-Berger2013-2.6.28.6-icse11,,,,
systems_software-h8300h_sim-Knüppel2017,1195,828,1.10e203,
systems_software-phycore229x-Knüppel2017,1373,932,4.46e238,
systems_software-calm16_ceb-Knüppel2017,1186,830,6.68e203,
systems_software-cma28x-Knüppel2017,1217,849,3.22e207,
systems_software-ec555-Knüppel2017,1280,863,8.78e219,
