Model,Features,Constraints,Configurations,Homogeneity
model_20150223_771673981,26,0,672,
model_20150226_64791123,26,2,2048,
model_20150228_222823272,37,7,393216,
model_20150228_41303449,33,1,111360,
model_20150301_1821356180,28,5,79872,
model_20150301_300492477,33,2,435456,
model_20150301_527193150,24,0,8192,
model_20150302_1660900120,31,3,537600,
model_20150304_173081072,20,7,262144,
model_20150304_617127008,56,12,1.29e11,
model_20150305_15208156,30,4,125440,
model_20150305_837831991,39,3,166656,
model_20150305_94122420,31,0,10752,
model_20150306_503606823,27,0,26624,
model_20150307_1251635490,35,1,4.74e6,
model_20150309_1129343473,33,5,1.60e6,
model_20150309_1544990511,39,3,64,
model_20150309_670536624,22,6,37632,
model_20150310_1159520762,35,6,2.62e6,
model_20150310_1191030699,30,4,190464,
model_20150310_1642957582,29,4,1.29e6,
model_20150310_563618715,33,7,1.68e6,
model_20150320_593593000,13,2,192,
model_20150330_63301402,11,0,21,
model_20150411_1026005127,10,2,36,
model_20150411_1055039600,18,0,6,
model_20150411_1378086632,15,1,30,
model_20150414_2125272166,21,6,6720,
model_20150416_264061404,47,0,29680,
model_20150419_1225785874,11,0,84,
model_20150423_1415525319,27,0,72,
model_20150423_1422172417,14,0,16,
model_20150425_1862491910,80,0,2.25e13,
model_20150427_2103265175,56,3,1.06e9,
model_20150428_2048110240,11,2,42,
model_20150429_343028682,43,0,23040,
model_20150505_1728564449,13,0,448,
model_20150506_2068045691,20,0,18,
model_20150506_306101537,33,0,131072,
model_20150507_1665248699,15,0,18,
model_20150507_425070085,44,0,1.34e10,
model_20150509_1341412445,10,1,48,
model_20150512_534005467,31,5,432,
model_20150515_2045521211,25,2,12096,
model_20150521_1423870525,16,0,180,
model_20150521_1988107963,17,0,816,
model_20150523_1701783178,23,0,6762,
model_20150523_372542452,47,5,95200,
model_20150527_1979644627,72,0,1.85e11,
model_20150527_2051574410,28,0,9599,
model_20150527_830434674,34,0,1.34e8,
model_20150529_550903687,21,2,2560,
model_20150610_685576256,15,3,12,
model_20150611_1748318240,14,0,56,
model_20150611_578706116,13,0,54,
model_20150612_1719519345,14,0,232,
model_20150614_1325491211,24,3,14880,
model_20150616_1287606127,22,0,540,
model_20150616_314969910,26,2,8064,
model_20150616_74187279,17,0,48,
model_20150620_2057636397,13,0,24,
model_20150621_1174641946,36,3,216,
model_20150621_2090653675,20,0,2496,
model_20150624_1191374126,13,1,136,
model_20150625_1923523971,16,1,288,
model_20150701_451946642,22,0,1260,
model_20150703_1928436983,10,0,2,
model_20150713_1448325014,32,4,720,
model_20150715_1425609053,12,0,168,
model_20150715_75174593,17,1,420,
model_20150720_1580995178,22,2,10752,
model_20151102_2085331426,51,4,2.49e7,
model_20151103_1678219280,19,0,56,
model_20151106_857588743,21,4,9765,
model_20151111_460133826,40,1,5880,
model_20151116_762410606,29,0,12032,
model_20151117_1411945431,22,0,2,
model_20151119_424700280,10,1,12,
model_20151119_825568988,19,1,1024,
model_20151122_103763227,47,0,9450,
model_20151123_702303189,40,6,2.83e6,
model_20151124_1131991591,34,0,5472,
model_20151127_885194761,36,5,381024,
model_20151201_896154285,24,2,216,
model_20151202_1529785580,40,3,1.14e6,
model_20151216_1220822165,15,0,511,
model_20160103_2012826523,94,2,6.24e8,
model_20160106_443157632,13,0,4,
model_20160111_1033692827,61,3,276480,
model_20160121_1141972007,20,0,102,
model_20160122_407616496,29,2,6048,
model_20160123_368502373,10,0,32,
model_20160125_1378351345,38,7,13824,
model_20160125_59009200,37,7,1735,
model_20160221_544170906,11,1,24,
model_20160225_2040495200,50,3,252000,
model_20160225_419189676,47,5,3.41e9,
model_20160226_1944186213,48,8,12,
model_20160227_1275602559,47,34,432000,
model_20160227_1389842098,48,4,4.73e9,
model_20160229_1590940306,50,9,4.73e9,
model_20160229_171128808,48,23,351000,
model_20160229_1734203468,48,4,229500,
model_20160229_490224198,49,6,6.91e6,
model_20160229_707006027,13,1,2,
model_20160301_1978418899,24,8,28,
model_20160301_235863217,20,7,14,
model_20160303_1635209528,16,0,56,
model_20160303_1645051071,17,2,126,
model_20160304_1567363129,19,7,384,
model_20160304_165509543,43,6,490560,
model_20160304_168615633,29,5,270144,
model_20160307_1341241097,12,0,48,
model_20160308_190029672,33,0,1.66e6,
model_20160308_79396455,41,7,5.97e7,
model_20160308_993894457,10,0,28,
model_20160309_1721210506,14,0,56,
model_20160309_77134368,18,0,1792,
model_20160311_1359424486,50,0,1.89e7,
model_20160311_358715911,26,0,256,
model_20160315_505457800,28,0,448,
model_20160315_697003579,27,0,3360,
model_20160317_1483846003,46,0,6.82e6,
model_20160322_2014722365,54,0,1.59e13,
model_20160329_1092215724,17,9,189,
model_20160329_1144142418,54,0,2808,
model_20160329_1152124785,21,0,8,
model_20160329_1368375444,33,7,756,
model_20160329_1491802197,20,0,6,
model_20160329_160417479,20,0,6,
model_20160329_1691896941,28,12,96,
model_20160329_174305764,44,10,8928,
model_20160329_1999221629,24,0,448,
model_20160329_2023954051,24,0,168,
model_20160329_268958808,47,8,6144,
model_20160329_304357596,23,0,72,
model_20160329_578011837,23,0,48,
model_20160329_736279509,14,0,31,
model_20160329_864839294,22,0,27776,
model_20160329_925786350,31,0,896,
model_20160329_926312476,21,0,36,
model_20160330_1191432205,19,0,64,
model_20160330_1233914245,12,3,192,
model_20160330_1306243394,21,0,105,
model_20160330_1356575467,10,0,7,
model_20160330_149443721,30,14,6944,
model_20160330_1632759327,19,0,27,
model_20160330_1784601624,25,0,420,
model_20160330_1846251072,39,0,147,
model_20160330_218438641,23,0,72,
model_20160330_387052519,21,0,72,
model_20160330_469153666,13,0,49,
model_20160330_511669656,15,0,6,
model_20160330_888130075,73,0,1.20e9,
model_20160330_925748995,16,0,9,
model_20160330_999254735,14,0,16,
model_20160411_1158715394,11,0,255,
model_20160420_1926809017,12,0,18,
model_20160420_474055968,96,0,4.68e16,
model_20160426_744600320,21,0,768,
model_20160428_283258262,40,0,20160,
model_20160429_2024552354,12,0,140,
model_20160502_1352812691,38,0,311400,
model_20160502_596671432,25,0,1728,
model_20160503_1174916821,42,2,21952,
model_20160504_1687809818,30,0,1536,
model_20160504_18344306,13,2,84,
model_20160504_814917052,26,0,6048,
model_20160506_174377233,40,0,7680,
model_20160508_265400900,46,6,1.03e7,
model_20160512_1688304541,31,0,1536,
model_20160519_1235536625,34,16,11340,
model_20160519_1444507509,41,19,77760,
model_20160519_1846923063,39,27,75600,
model_20160520_681202886,11,0,18,
model_20160524_3029237,19,2,84,
model_20160527_1098137653,20,3,56,
model_20160531_1105256806,25,8,2592,
model_20160531_486171149,35,17,18630,
model_20160531_990808801,14,0,24,
model_20160603_398155586,15,0,24,
model_20160606_235281629,13,0,2,
model_20160606_412121552,14,0,16,
model_20160608_755102753,12,0,4,
model_20160620_457730604,20,0,4096,
model_20160621_993334585,26,0,384,
model_20160623_1415871890,13,1,128,
model_20160629_1032137585,16,2,378,
model_20160712_1875218337,11,0,4,
model_20160716_1943328700,18,0,2352,
model_20160721_1827988269,19,5,2304,
model_20160721_972954567,10,0,24,
model_20160726_1855902901,12,1,2,
model_20160812_1476754989,10,2,24,
model_20160813_60083737,10,0,16,
model_20160821_1946133193,14,1,18,
model_20160822_713171625,28,3,177408,
model_20160824_2005849052,21,0,72,
model_20160905_338518821,25,0,4464,
model_20160905_774306083,14,0,404,
model_20160906_1914580505,31,0,36288,
model_20160906_802533043,21,4,2688,
model_20160906_881197553,18,0,216,
model_20160907_1816738180,10,0,36,
model_20160911_493856736,45,6,225000,
model_20160912_1428022317,49,10,3.02e9,
model_20160912_772295854,18,0,4095,
model_20160913_2142740300,48,21,891000,
model_20160913_245590430,38,23,180000,
model_20160913_269001380,49,17,351000,
model_20160913_482611615,48,12,459000,
model_20160913_600398973,48,6,6.91e6,
model_20160917_824197127,14,0,32,
model_20160919_1142576711,20,0,147,
model_20160919_422339066,50,5,163296,
model_20160919_825563014,11,0,24,
model_20160921_24535453,29,0,7936,
model_20160925_2087627141,47,9,6.61e7,
model_20160926_106687243,57,0,48,
model_20160926_2009081259,54,0,128,
model_20161003_680973994,53,7,5.63e8,
model_20161012_1497804026,13,0,16,
model_20161018_1395239714,11,0,1,
model_20161025_210874268,10,0,122,
model_20161101_1188178549,36,0,2.42e7,
model_20161101_1287284082,50,0,1.83e8,
model_20161107_2119549052,12,0,3,
model_20161107_751073207,11,0,10,
model_20161109_258969269,10,2,64,
model_20161117_1407262512,21,0,513,
model_20161118_1167269407,66,13,27720,
model_20161118_228131771,66,13,1,
model_20161122_1255346120,15,1,54,
model_20161123_1530983999,36,0,1,
model_20161124_135805624,37,0,8.45e9,
model_20161125_1777261352,33,3,5397,
model_20161127_1823059506,69,246,93312,
model_20161128_1478224089,77,0,3.03e13,
model_20161128_2006303576,96,0,7.53e10,
model_20161128_2133107865,68,0,6.06e9,
model_20161128_844678202,39,2,7.57e6,
model_20161207_285955518,54,0,3.96e9,
model_20161209_758532997,13,0,9,
model_20161212_1631452800,23,7,504,
model_20161213_651973816,21,6,756,
model_20170115_352040991,17,1,168,
model_20170131_61369545,39,0,1.19e7,
model_20170206_852070049,13,1,30,
model_20170215_1278541927,41,0,202860,
model_20170215_1976164448,35,3,1878,
model_20170219_358603289,62,0,9.99e12,
model_20170221_1848353506,210,38,1.72e25,
model_20170228_1437582980,10,0,122,
model_20170228_2078125436,34,1,301320,
model_20170301_235251685,14,1,294,
model_20170308_1789444441,28,0,1536,
model_20170310_195700687,47,20,270000,
model_20170310_2069806245,49,10,594000,
model_20170310_906013336,47,9,135000,
model_20170311_1316290182,48,23,270000,
model_20170312_968402737,49,7,594000,
model_20170313_143405764,48,21,351000,
model_20170313_788976149,12,0,42,
model_20170315_1174513943,18,0,8191,
model_20170315_692595151,23,0,5376,
model_20170316_1293936491,48,5,8,
model_20170316_1430061931,60,203,1.38e12,
model_20170316_174511349,16,3,240,
model_20170317_1165725,50,7,8,
model_20170320_149190356,50,6,8,
model_20170320_1505333083,47,0,495000,
model_20170320_772300106,48,0,8,
model_20170321_1279222212,10,2,8,
model_20170321_1774846112,179,26,9.05e25,
model_20170322_711096381,10,0,16,
model_20170328_1485540940,451,137,1.30e64,
model_20170328_418838667,261,72,3.03e31,
model_20170402_1978825740,263,84,1.19e30,
model_20170402_765751837,329,108,1.52e51,
model_20170404_1821671055,13,3,36,
model_20170405_957299568,142,88,9.86e33,
model_20170410_971411480,11,0,10,
model_20170414_1751865819,77,8,2.56e9,
model_20170419_185164278,17,0,216,
model_20170420_1165511748,77,0,1.47e8,
model_20170424_781699396,142,13,5.28e11,
model_20170502_101132737,33,9,1080,
model_20170504_370000031,36,5,7.62e6,
model_20170505_1428478521,24,2,91504,
model_20170505_1995894898,32,3,432,
model_20170510_174347414,15,0,72,
model_20170512_1532934104,24,0,131072,
model_20170514_1578942718,40,6,2.83e6,
model_20170517_1276361560,10,2,24,
model_20170517_1468714593,10,2,24,
model_20170517_1986241278,10,2,18,
model_20170518_1713871521,15,2,196,
model_20170518_711240246,36,0,4.19e7,
model_20170527_1802227256,11,3,44,
model_20170528_1427439246,10,2,64,
model_20170607_1389753102,13,1,93,
model_20170618_724645944,13,2,12,
model_20170627_231083922,14,1,240,
model_20170702_979744088,21,0,8176,
model_20170703_1893075315,20,1,136,
model_20170704_1299892151,11,0,512,
model_20170706_1181552122,11,2,14,
model_20170706_1588900401,30,1,16512,
model_20170718_2017313962,18,0,8,
model_20170720_160368734,14,0,64,
model_20170809_1734454576,15,0,12,
model_20170814_699386305,12,0,246,
model_20170818_1523700786,31,0,240,
model_20170818_812208818,31,0,240,
model_20170821_2117231347,28,25,2592,
model_20170821_744427680,15,16,48,
model_20170904_444361354,46,0,2.32e6,
model_20170904_998227463,42,0,2.36e8,
model_20170911_1850240044,13,0,12,
model_20170916_132089042,48,24,7.87e7,
model_20170916_973590519,48,14,459000,
model_20170918_1157652981,48,4,270000,
model_20170918_191476099,48,1,3.13e10,
model_20170918_1996976409,33,0,1.03e7,
model_20170918_2076946141,16,0,320,
model_20170918_446567907,48,11,540000,
model_20170919_1393589103,48,20,351000,
model_20170919_1425490791,47,17,1.22e6,
model_20170919_1946252337,48,6,135000,
model_20170919_303553909,49,29,594000,
model_20170919_414938854,47,0,3.11e7,
model_20170921_244476382,47,10,189000,
model_20170925_1698983864,19,0,160,
model_20170926_1539445221,14,1,32,
model_20170926_289427240,11,0,24,
model_20170927_2140419024,87,0,317520,
model_20170930_228024571,62,25,1.90e10,
model_20171005_1407702877,28,0,345600,
model_20171005_1816009957,10,0,8,
model_20171005_661289758,10,0,2,
model_20171008_377237228,43,0,7.01e8,
model_20171010_332868283,12,0,32,
model_20171012_404282969,25,0,7680,
model_20171012_432118074,28,0,512,
model_20171012_484328807,36,0,1,
model_20171014_936370428,10,0,42,
model_20171016_1973576375,11,3,48,
model_20171016_2132568250,12,0,9,
model_20171016_777651910,27,0,7200,
model_20171018_1720986032,130,0,4.65e20,
model_20171020_786614820,12,0,16,
model_20171021_192017753,17,0,168,
model_20171028_1906143627,13,2,192,
model_20171029_1247758730,10,0,4,
model_20171029_714150136,10,0,8,
model_20171108_1643056811,12,0,16,
model_20171109_1740328562,21,11,1296,
model_20171128_2320585,14,0,6,
model_20171129_847069382,35,0,1.57e7,
model_20171202_671836466,14,0,1,
model_20171204_404453510,21,2,3640,
model_20171207_1015871671,18,16,889,
model_20171207_711618687,13,0,127,
model_20171208_504832504,10,0,24,
model_20171213_638254090,11,0,56,
model_20180110_870365297,10,2,42,
model_20180122_1429516018,40,4,23328,
model_20180126_2070362475,30,0,122880,
model_20180214_1066016479,96,17,8.26e14,
model_20180222_1531590612,18,0,144,
model_20180222_1576024243,13,0,6,
model_20180222_1790291836,22,0,1920,
model_20180222_1813103418,26,0,108,
model_20180222_1895267586,22,3,1024,
model_20180222_1925875374,45,0,1.57e8,
model_20180222_524224426,26,0,1400,
model_20180222_786472237,12,0,18,
model_20180226_492552032,11,0,9,
model_20180227_1765307019,116,16,9.90e16,
model_20180301_203291309,13,0,256,
model_20180302_974887082,122,28,2.62e7,
model_20180304_1150769979,48,11,720000,
model_20180304_290046860,48,3,459000,
model_20180305_1393570452,48,18,351000,
model_20180305_1565538092,50,12,351000,
model_20180305_2101436905,47,0,567000,
model_20180306_1110315637,39,1,13500,
model_20180306_1553572984,47,0,10,
model_20180306_1625675392,48,0,270000,
model_20180306_177892963,45,15,135000,
model_20180306_1851656621,49,13,585000,
model_20180306_422218475,53,6,351000,
model_20180306_73619671,48,5,459000,
model_20180306_832754487,49,27,270000,
model_20180307_2144246090,49,10,253500,
model_20180311_1112468126,29,0,360,
model_20180403_1861855205,14,0,4,
model_20180407_489573335,109,17,1.01e13,
model_20180409_394573881,10,0,30,
model_20180411_122889136,26,0,65538,
model_20180509_988672632,27,0,6480,
model_20180511_622669496,18,0,4096,
model_20180511_935028612,20,3,1116,
model_20180512_143602565,37,0,57600,
model_20180512_276218752,36,2,18,
model_20180512_316263333,41,0,86400,
model_20180512_409172439,37,0,57600,
model_20180512_419383167,36,2,18,
model_20180512_427876131,37,0,57600,
model_20180512_660942805,36,2,18,
model_20180512_733862721,23,2,20250,
model_20180512_775268148,24,0,62775,
model_20180512_810540422,23,1,47250,
model_20180512_893377341,24,2,27000,
model_20180513_39795521,22,0,189,
model_20180514_1722608288,27,0,504,
model_20180514_381391194,20,0,64,
model_20180530_1810935889,11,2,24,
model_20180611_1112345807,10,3,7,
model_20180611_1140870617,10,3,7,
model_20180611_1800915628,10,3,15,
model_20180611_848416665,10,3,14,
model_20180612_1244406232,33,0,8.39e6,
model_20180612_712325117,15,0,16,
model_20180613_78021145,15,1,15,
model_20180618_656757926,11,0,4,
model_20180705_2136123533,10,0,255,
model_20180708_1907991672,24,9,1920,
model_20180713_1002093829,23,6,1176,
model_20180729_2071913647,24,6,4480,
model_20180729_701594854,22,3,1344,
model_20180729_778045288,31,3,79200,
model_20180815_1120231956,26,8,2480,
model_20180819_995624779,14,0,336,
model_20180911_126281571,10,2,24,
model_20180913_1045465294,10,0,18,
model_20180913_872907572,15,0,16,
model_20180917_1978871462,50,0,1.42e7,
model_20180927_642324190,51,0,1.42e7,
model_20180930_1153905679,27,0,107520,
model_20181005_1705175151,26,0,448,
model_20181016_583005690,32,2,229376,
model_20181019_994429580,10,1,12,
model_20181024_611767532,13,2,192,
model_20181029_2093756359,18,4,336,
model_20181103_2077285196,11,2,24,
model_20181104_43638915,10,0,24,
model_20181118_1641295184,12,1,64,
model_20181119_2037159342,23,6,72,
model_20181205_2097248492,19,9,1710,
model_20181219_1343761699,20,6,120,
model_20190108_414883666,17,0,5440,
model_20190117_1837815772,14,0,15,
model_20190122_546529784,18,1,144,
model_20190124_988857604,46,0,4.23e7,
model_20190128_1522973155,23,5,441,
model_20190129_1004578234,18,1,64,
model_20190203_959278211,27,0,2,
model_20190214_582844610,11,2,24,
model_20190219_265960660,178,9,9.91e24,
model_20190220_184230257,38,10,1436,
model_20190221_1604245950,18,2,30,
model_20190223_1159148955,103,9,3.94e13,
model_20190223_1275185141,10,1,24,
model_20190223_2023041805,19,10,576,
model_20190223_2034909826,88,0,1.33e6,
model_20190228_1201197026,16,2,64,
model_20190304_818967793,29,0,44100,
model_20190326_164569423,10,0,32,
model_20190328_829158427,14,3,114,
model_20190411_1457420991,18,11,30,
model_20190413_1966613868,42,0,698880,
model_20190416_284413958,37,0,1.12e6,
model_20190416_545039882,21,0,2304,
model_20190416_886742925,12,0,64,
model_20190430_2137275351,37,1,8064,
model_20190430_348224224,33,0,410,
model_20190502_109355269,18,0,2604,
model_20190502_1338968023,34,5,2,
model_20190503_1463982406,41,4,1.19e6,
model_20190504_755268837,43,11,1872,
model_20190510_1232864614,12,0,27,
model_20190510_899437477,13,0,108,
model_20190513_110684557,10,2,18,
model_20190513_1749709644,20,3,2080,
model_20190513_1805648090,10,2,8,
model_20190513_215044614,10,0,32,
model_20190513_554652357,10,0,1,
model_20190513_639238065,10,1,16,
model_20190514_850677966,25,4,13968,
model_20190522_227919886,20,5,104,
model_20190526_2060834946,12,1,72,
model_20190616_1868431112,40,0,82944,
model_20190619_50728308,19,0,1,
model_20190624_198695067,24,0,1024,
model_20190730_1957937065,25,1,1728,
model_20190805_1041162508,23,1,288,
model_20190824_1440931285,104,0,3.09e26,
model_20190825_1083955002,12,0,12,
model_20190904_400441788,625,0,2.11e82,
model_20190913_1052617154,21,0,17,
model_20190914_1323674619,61,0,4608,
model_20190915_1211977272,22,0,16,
model_20190915_1647283170,10,0,24,
model_20190915_38921055,10,0,24,
model_20190916_1591625575,42,0,26400,
model_20190916_1777637747,10,0,2,
model_20190916_233719618,10,0,14,
model_20190916_779041735,41,0,13200,
model_20190917_1294871534,16,0,76,
model_20190917_1352548057,59,0,379260,
model_20190917_1484600794,17,0,32,
model_20190917_1598073515,16,0,2,
model_20190917_1679843058,11,0,31,
model_20190917_1844149588,49,0,5776,
model_20190917_1855142600,38,0,1536,
model_20190917_1882445879,16,0,254,
model_20190917_383002664,43,0,13680,
model_20190917_490456110,39,0,46764,
model_20190917_512190943,45,0,12288,
model_20190917_552843992,10,0,16,
model_20190917_595353381,13,0,60,
model_20190917_659690280,12,0,32,
model_20190917_729866659,83,0,3.58e6,
model_20190917_75070341,33,0,480,
model_20190917_80747458,16,0,132,
model_20190917_896971240,35,0,5859,
model_20190918_1569717148,17,0,128,
model_20190919_887233558,17,0,300,
model_20190920_1330526555,10,0,6,
model_20190920_56721129,15,0,16,
model_20190920_579117949,13,5,48,
model_20190921_1186818003,15,0,24,
model_20190922_1316746975,22,0,8,
model_20190922_230985682,21,11,12,
model_20190922_267709941,35,0,806400,
model_20190922_499979669,25,4,1536,
model_20190922_718247414,12,0,80,
model_20190922_729177560,21,0,64,
model_20190929_1773228224,17,8,384,
model_20191012_1432325334,40,7,82944,
model_20191016_1243022077,83,0,5.63e20,
model_20191111_1176325905,16,0,64,
model_20191115_635910941,37,0,512,
model_20191119_1702487696,24,0,40,
model_20191126_842054213,21,3,1152,
model_20200120_1111265554,10,0,32,
model_20200121_827473084,17,0,4096,
model_20200128_1154759905,23,4,4608,
model_20200128_1186233455,23,4,4608,
model_20200128_1669015551,23,0,4608,
model_20200128_23228584,23,4,4608,
model_20200128_745414394,23,0,4608,
model_20200212_1763855182,12,0,1,
model_20200225_1125771038,43,3,4.52e6,
model_20200316_153170359,124,7,1.03e17,
model_20200320_13307140,10,0,8,
model_20200403_1286696698,37,0,1028,
model_20200403_1474941211,14,0,126,
model_20200412_2136556876,12,0,128,
model_20200413_90255108,48,0,3.76e9,
model_20200425_1144751894,10,4,6,
model_20200503_927740000,21,3,9216,
model_20200513_1559879338,11,0,36,
model_20200517_1501498720,11,2,28,
model_20200524_149606280,35,13,48384,
model_20200609_1715293706,12,2,180,
model_20200619_2057881785,37,7,3264,
model_20200621_929471783,11,2,84,
model_20200728_429027371,17,0,15120,
model_20200810_1006372985,36,0,3990,
model_20200810_1274447969,33,0,245760,
model_20200810_1407499848,35,0,26460,
model_20200810_1487197226,29,0,420,
model_20200810_1781368898,21,0,96,
model_20200810_1943380085,26,1,980,
model_20200810_903664942,25,2,208320,
model_20200810_956997411,39,0,1860,
model_20200811_1911664133,17,6,72,
model_20200811_368165701,11,0,2,
model_20200813_1618100589,28,0,3584,
model_20200815_1845054862,39,0,162,
model_20200815_41086763,31,0,48,
model_20200815_433256797,39,0,171,
model_20200815_582760962,29,0,1600,
model_20200816_1246721801,18,0,32,
model_20200816_33425673,39,0,171,
model_20200817_129447612,37,0,55552,
model_20200817_1333981485,33,0,252,
model_20200819_498504850,31,0,2688,
model_20200819_710049424,28,0,5880,
model_20200819_795623217,26,0,360,
model_20200829_1325519775,22,0,16,
model_20200901_1356822502,38,0,187488,
model_20200901_1590540568,38,4,187488,
model_20200901_1615961503,38,0,187488,
model_20200901_164722413,11,0,24,
model_20200901_2052923297,21,0,1,
model_20200901_328439811,35,0,19440,
model_20200901_40084439,26,0,8,
model_20200901_93573304,38,0,187488,
model_20200907_1296105910,35,1,19440,
model_20200907_1598312227,130,0,96,
model_20200907_1678285822,63,0,885087,
model_20200909_844580970,17,0,81,
model_20200919_469515687,20,1,84,
model_20201002_1982652571,15,0,15,
model_20201007_667063467,72,0,6.94e11,
model_20201010_633615094,12,0,98,
model_20201011_1804341944,59,0,4.50e15,
model_20220910_809454030,37,13,3.28e6,
model_20221004_622223252,26,0,3600,
model_20221009_1635938665,42,0,13824,
model_20221010_1477134717,51,0,10.00e6,
model_20221013_1054303307,66,0,1.26e8,
model_20221015_510481451,12,2,315,
model_20221017_1844403757,10,0,4,
model_20221018_544175819,29,0,136710,
model_20221025_2010292001,22,0,16,
model_20221026_1860047321,103,0,1.78e12,
model_20221029_568257220,17,18,81,
model_20221031_340330235,35,0,324,
model_20221031_379205114,158,111,1.99e20,
model_20221101_871584152,19,19,144,
model_20221102_1308706395,17,3,81,
model_20221109_1435495840,14,2,252,
model_20221114_1363146415,39,4,39424,
model_20221122_1612835830,20,0,1296,
model_20221125_1235088379,25,1,480,
model_20221208_1038664369,28,0,10260,
model_20221208_1116778716,22,0,684,
model_20221220_1576677705,14,2,20,
model_20221229_1000010819,17,0,192,
model_20221229_2070974785,17,0,192,
model_20230120_1200060194,20,0,64,
model_20230228_1021126902,11,1,64,
model_20230313_612090761,13,3,112,
model_20230322_1023477919,73,0,3.49e13,
model_20230322_1028761227,18,0,120,
model_20230322_1036375763,40,0,25640,
model_20230322_1194175451,34,0,13842,
model_20230322_1299985155,31,0,5760,
model_20230322_1548752135,45,4,60480,
model_20230322_1573076538,17,0,96,
model_20230322_1814026223,20,0,84,
model_20230322_1855764436,26,0,756,
model_20230322_1882971454,21,0,176,
model_20230322_1887635433,32,0,3038,
model_20230322_1914329788,32,0,3038,
model_20230322_2049733851,24,0,40,
model_20230322_2065877531,26,0,56,
model_20230322_208918165,40,0,12820,
model_20230322_242202942,19,0,124,
model_20230322_307237036,29,0,27,
model_20230322_310895789,26,0,56,
model_20230322_342259021,33,0,1764,
model_20230322_413432441,22,0,128,
model_20230322_492815120,41,0,62208,
model_20230322_497943934,40,0,25640,
model_20230322_572568226,51,0,6440,
model_20230322_604627146,22,0,9,
model_20230322_61558144,16,0,60,
model_20230322_729074756,29,0,27,
model_20230322_774285627,15,0,6,
model_20230322_812446738,34,0,2316,
model_20230322_928718925,20,0,36,
model_20230323_1102049462,17,0,8,
model_20230323_1108197556,17,0,3,
model_20230323_1971213764,46,0,31752,
model_20230323_425392427,33,0,1764,
model_20230323_58681865,17,0,3,
model_20230323_642188361,23,0,480,
model_20230323_867226898,16,0,6,
model_20230323_901833353,74,0,19440,
model_20230422_2139223494,37,0,1.96e6,
model_20230423_1943321532,27,0,28,
model_20230426_159926820,59,0,512,
model_20230505_1739075744,42,3,11520,
model_20230608_1658584159,24,0,14336,
model_20230609_1502711362,22,0,512,
model_20230613_1168762973,11,0,8,
model_20230615_1063099089,38,0,8400,
model_20230615_743611401,24,0,3072,
model_20230615_784426434,14,0,192,
model_20230616_862941800,30,0,5,
model_20230630_666266911,13,2,128,
movies_app_fm,13,0,24,
REAL-FM-1,88,0,1.65e13,
REAL-FM-10,14,0,48,
REAL-FM-11,67,4,15360,
REAL-FM-12,14,2,256,
REAL-FM-13,12,2,27,
REAL-FM-14,18,0,396,
REAL-FM-15,25,3,480,
REAL-FM-16,26,3,43200,
REAL-FM-17,25,4,2976,
REAL-FM-18,44,8,3.33e8,
REAL-FM-19,30,8,480,
REAL-FM-2,23,2,1512,
REAL-FM-20,44,0,80658,
REAL-FM-3,43,6,7.00e6,
REAL-FM-4,290,20,1.16e51,
REAL-FM-5,17,13,1134,
REAL-FM-6,11,2,24,
REAL-FM-7,14,2,144,
REAL-FM-8,17,1,28,
REAL-FM-9,14,2,180,
smart_home_fm,59,3,5.10e8,
stack_fm,17,0,432,
dm_HICSSDM.csv,28,0,589823,
dm_eShop_DM.csv,13,4,767,
step1 Determine the information you need to display,12,7,14,
step2 Select the best means to display the information (tables),13,2,10,
"step3 Design the display to show the information simply, clearly and accurately (graphs)",50,0,1.28e7,
"step3 Design the display to show the information simply, clearly and accurately (tables)",48,2,10584,
step4 Select the implementation for the visualization (graphs),14,4,16,
step4 Select the implementation for the visualization (tables),14,4,16,
model,13,2,128,
software_strategies,57,12,1.87e11,
SGPL,94,19,6.69e16,
miband1,12,0,1,
miband1s,13,0,2,
miband1s_planned,13,0,2,
miband1s_realized,13,0,2,
miband1_planned,12,0,1,
miband1_realized,12,0,1,
miband2,21,4,24,
miband2_planned,21,0,24,
miband2_realized,21,0,24,
miband3,24,8,144,
miband3_planned,24,1,144,
miband3_realized,24,5,144,
miband4,31,16,1792,
miband4_planned,31,1,1792,
miband4_realized,31,8,1792,
miband5,34,20,10752,
miband5_planned,,,,
miband5_realized,34,16,10752,
miband6,35,21,21504,
miband6_planned,35,1,21504,
miband6_realized,35,20,21504,
miband7,36,22,26880,
miband7_planned,36,1,26880,
miband7_realized,36,20,26880,
miband8,37,22,32256,
miband8_planned,37,1,32256,
miband8_realized,37,22,32256,
busybox-1.18.0,854,67,7.73e212,
ea2468,1408,1281,7.86e235,
linux-2.6.33.3,6467,7650,3.90e1672,
REAL-FM-4,291,21,1.16e51,
arcade-game,65,34,1.61e11,
busybox-1.18.0,854,67,7.73e212,
ea2468,1408,1281,7.86e235,
fqa,179,9,5.94e26,
linux-2.6.33.3,6467,7650,3.90e1672,
REAL-FM-4,291,21,1.16e51,
REAL-FM-7,14,2,144,
berkeleydb,76,20,1.15e14,
SGPL,94,19,6.69e16,
financialservices01,771,1080,7.15e34,
2017-05-22,557,1001,3.88e15,
2017-09-28,704,1136,1.56e27,
2017-10-20,712,1142,5.00e28,
2017-11-20,711,1148,4.99e28,
